customer_id,gender,age,city,registration_date,referral_source,device_type,kyc_completed
38,Male,44,Bangalore,2025-02-21,Organic,iOS,0
39,Male,39,Delhi,2025-02-05,Ad,iOS,0
40,Male,49,Hyderabad,2025-01-05,Ad,iOS,1
41,Male,44,Bangalore,2025-03-06,Organic,iOS,1
42,Male,19,Mumbai,2025-03-09,Organic,iOS,0
43,Female,50,Pune,2024-12-25,Organic,iOS,0
44,Female,43,Kolkata,2025-03-08,Referral,Android,1
45,Female,45,Mumbai,2024-12-31,Organic,iOS,1
46,Female,36,Kolkata,2025-01-03,Referral,Android,1
47,Female,22,Hyderabad,2024-10-29,Ad,Android,1
48,Male,50,Ahmedabad,2025-01-24,Organic,Android,1
49,Female,37,Chennai,2025-03-21,Ad,Android,1
50,Female,47,Pune,2024-12-05,Organic,iOS,1
51,Male,25,Mumbai,2024-11-15,Ad,iOS,0
52,Female,55,Pune,2025-03-01,Organic,Android,0
53,Male,34,Bangalore,2024-12-26,Referral,Android,1
54,Female,18,Hyderabad,2025-03-12,Ad,Android,1
55,Male,20,Mumbai,2024-11-11,Ad,iOS,1
56,Female,43,Chennai,2025-01-16,Organic,iOS,0
57,Female,48,Pune,2024-10-23,Referral,iOS,1
58,Male,25,Chennai,2024-10-25,Referral,iOS,1
59,Male,25,Pune,2024-12-30,Referral,iOS,1
60,Male,52,Mumbai,2024-11-05,Organic,Android,1
61,Male,56,Hyderabad,2025-02-11,Ad,iOS,1
62,Male,45,Delhi,2024-10-03,Organic,Android,1
63,Male,21,Mumbai,2025-03-15,Referral,Android,1
64,Male,33,Chennai,2025-03-21,Referral,Android,1
65,Male,30,Delhi,2024-10-14,Ad,Android,1
66,Female,37,Ahmedabad,2025-02-02,Organic,iOS,1
67,Female,22,Hyderabad,2025-01-17,Organic,iOS,1
68,Male,54,Chennai,2025-03-12,Referral,iOS,1
69,Female,37,Hyderabad,2025-02-01,Ad,iOS,1
70,Female,41,Pune,2025-03-07,Ad,iOS,0
71,Female,53,Mumbai,2024-12-25,Referral,Android,1
72,Female,51,Hyderabad,2025-01-20,Organic,iOS,1
73,Male,51,Chennai,2024-12-06,Organic,iOS,0
74,Female,36,Mumbai,2024-10-21,Ad,iOS,0
75,Male,34,Kolkata,2024-12-29,Ad,Android,1
76,Female,22,Chennai,2025-02-19,Referral,Android,1
77,Female,42,Chennai,2024-12-28,Ad,iOS,1
78,Female,35,Kolkata,2025-01-01,Organic,Android,1
79,Male,25,Kolkata,2025-02-07,Organic,Android,1
80,Female,44,Delhi,2024-10-12,Ad,Android,1
81,Male,32,Bangalore,2025-01-23,Referral,Android,1
82,Female,30,Hyderabad,2024-10-04,Organic,iOS,1
83,Male,33,Hyderabad,2024-10-09,Organic,iOS,1
84,Female,39,Delhi,2024-10-18,Referral,Android,0
85,Male,37,Ahmedabad,2025-03-14,Ad,Android,1
86,Male,30,Pune,2024-10-28,Organic,Android,1
87,Female,37,Ahmedabad,2024-10-21,Organic,Android,1
88,Male,19,Hyderabad,2025-02-17,Referral,Android,1
89,Female,52,Kolkata,2024-11-16,Ad,Android,1
90,Female,36,Ahmedabad,2025-01-29,Referral,iOS,1
91,Female,54,Delhi,2025-02-19,Referral,Android,1
92,Female,23,Hyderabad,2024-12-04,Ad,iOS,1
93,Female,31,Hyderabad,2024-12-25,Organic,iOS,1
94,Female,21,Chennai,2025-01-22,Referral,iOS,1
95,Female,39,Delhi,2024-10-20,Organic,Android,1
96,Female,56,Kolkata,2024-10-07,Organic,Android,1
97,Female,53,Pune,2024-11-10,Organic,iOS,0
98,Female,51,Hyderabad,2025-02-04,Organic,iOS,1
99,Female,44,Pune,2024-10-08,Referral,Android,0
100,Male,24,Bangalore,2025-01-08,Ad,Android,1
101,Male,20,Delhi,2025-03-18,Organic,Android,1
102,Female,50,Delhi,2025-02-02,Organic,Android,1
103,Female,19,Delhi,2025-03-24,Organic,Android,1
104,Female,59,Kolkata,2025-01-11,Ad,iOS,0
105,Female,33,Ahmedabad,2024-12-20,Organic,Android,1
106,Female,42,Kolkata,2025-01-23,Ad,iOS,1
107,Female,32,Chennai,2025-03-16,Referral,iOS,0
108,Female,41,Ahmedabad,2025-02-06,Ad,iOS,1
109,Female,32,Delhi,2024-11-07,Organic,iOS,1
110,Male,48,Chennai,2025-01-11,Referral,Android,1
111,Female,31,Kolkata,2025-02-06,Ad,iOS,1
112,Male,31,Bangalore,2024-10-16,Organic,iOS,1
113,Female,23,Mumbai,2024-11-25,Referral,Android,1
114,Female,31,Chennai,2024-12-21,Referral,Android,1
115,Male,34,Hyderabad,2024-10-19,Ad,iOS,1
116,Female,35,Delhi,2024-12-05,Organic,Android,1
117,Male,37,Ahmedabad,2025-02-24,Ad,Android,1
118,Female,34,Mumbai,2025-01-24,Referral,Android,1
119,Female,33,Chennai,2025-02-25,Referral,Android,1
120,Male,57,Ahmedabad,2025-01-28,Organic,Android,1
121,Female,56,Ahmedabad,2024-11-09,Referral,iOS,1
122,Male,49,Pune,2024-11-15,Organic,Android,1
123,Female,26,Kolkata,2025-01-24,Ad,Android,0
124,Male,44,Pune,2024-11-03,Referral,Android,1
125,Male,50,Hyderabad,2024-12-13,Referral,Android,1
126,Female,27,Mumbai,2024-11-03,Organic,iOS,0
127,Female,34,Bangalore,2024-12-20,Organic,Android,1
128,Male,53,Chennai,2024-12-30,Ad,iOS,0
129,Female,34,Pune,2025-02-04,Organic,Android,1
130,Female,35,Pune,2025-02-25,Referral,iOS,0
131,Female,40,Chennai,2024-11-22,Ad,Android,1
132,Male,51,Pune,2024-11-26,Ad,Android,1
133,Male,25,Bangalore,2025-03-09,Ad,iOS,0
134,Male,30,Ahmedabad,2025-03-20,Organic,Android,1
135,Male,40,Pune,2025-03-04,Organic,iOS,0
136,Male,37,Chennai,2025-02-21,Referral,Android,1
137,Male,39,Delhi,2024-10-23,Ad,iOS,1
138,Male,40,Pune,2025-02-20,Ad,iOS,1
139,Male,58,Chennai,2024-10-09,Ad,Android,1
140,Male,52,Ahmedabad,2024-12-14,Referral,iOS,1
141,Female,20,Ahmedabad,2024-10-31,Organic,Android,1
142,Male,51,Delhi,2025-03-16,Ad,iOS,1
143,Female,50,Pune,2024-12-24,Organic,Android,1
144,Female,34,Pune,2024-12-25,Organic,iOS,1
145,Female,36,Chennai,2024-10-31,Organic,iOS,1
146,Male,47,Hyderabad,2024-12-03,Organic,Android,1
147,Male,40,Hyderabad,2024-11-17,Organic,iOS,0
148,Male,32,Mumbai,2025-01-27,Referral,Android,1
149,Male,31,Hyderabad,2024-11-11,Organic,Android,1
150,Female,19,Bangalore,2025-03-30,Ad,Android,0
151,Male,56,Ahmedabad,2024-10-09,Ad,Android,1
152,Male,35,Mumbai,2025-03-03,Ad,Android,1
153,Male,23,Ahmedabad,2024-10-09,Referral,Android,1
154,Male,49,Hyderabad,2024-11-15,Organic,Android,1
155,Male,38,Delhi,2025-01-23,Ad,Android,1
156,Female,57,Kolkata,2024-10-19,Ad,Android,1
157,Male,45,Chennai,2025-01-04,Ad,Android,1
158,Female,44,Ahmedabad,2025-03-04,Organic,Android,1
159,Male,19,Hyderabad,2025-01-16,Ad,iOS,1
160,Female,50,Delhi,2024-12-11,Organic,Android,1
161,Male,33,Kolkata,2025-02-20,Ad,Android,1
162,Male,56,Mumbai,2024-12-06,Ad,Android,1
163,Female,39,Chennai,2025-04-01,Organic,iOS,1
164,Female,30,Ahmedabad,2025-01-24,Ad,Android,1
165,Female,19,Hyderabad,2024-11-24,Referral,Android,1
166,Male,31,Mumbai,2025-02-15,Organic,Android,1
167,Female,55,Ahmedabad,2024-11-23,Ad,iOS,1
168,Male,58,Hyderabad,2025-03-05,Referral,Android,1
169,Male,45,Mumbai,2024-10-23,Referral,iOS,0
170,Female,24,Ahmedabad,2025-01-15,Organic,Android,1
171,Female,35,Hyderabad,2024-10-20,Ad,Android,1
172,Male,58,Kolkata,2024-11-23,Organic,iOS,1
173,Male,53,Delhi,2024-10-28,Referral,iOS,1
174,Female,58,Bangalore,2025-02-10,Referral,iOS,1
175,Female,53,Kolkata,2025-02-21,Organic,Android,1
176,Female,21,Ahmedabad,2024-12-27,Organic,iOS,0
177,Male,47,Delhi,2025-02-19,Ad,iOS,1
178,Male,41,Chennai,2024-11-14,Referral,Android,1
179,Male,37,Hyderabad,2024-11-17,Organic,Android,1
180,Male,48,Bangalore,2025-04-01,Referral,Android,1
181,Male,41,Kolkata,2024-10-30,Organic,iOS,0
182,Male,24,Bangalore,2025-01-09,Ad,Android,1
183,Female,43,Chennai,2024-11-27,Referral,Android,1
184,Male,30,Ahmedabad,2025-03-28,Ad,iOS,1
185,Male,25,Chennai,2025-03-04,Ad,Android,1
186,Male,22,Bangalore,2024-12-30,Referral,Android,1
187,Female,30,Chennai,2025-01-13,Organic,iOS,1
188,Male,46,Chennai,2025-01-30,Ad,iOS,1
189,Male,37,Ahmedabad,2025-03-18,Ad,iOS,0
190,Female,31,Hyderabad,2025-01-30,Referral,iOS,1
191,Male,49,Delhi,2024-11-07,Referral,iOS,1
192,Male,44,Pune,2025-03-12,Referral,Android,0
193,Male,42,Ahmedabad,2025-03-11,Ad,iOS,0
194,Male,21,Mumbai,2024-11-28,Organic,iOS,0
195,Male,38,Ahmedabad,2025-03-15,Organic,Android,0
196,Female,35,Bangalore,2024-11-16,Referral,iOS,1
197,Female,56,Mumbai,2025-02-28,Ad,iOS,1
198,Female,32,Bangalore,2025-02-28,Ad,Android,0
199,Male,55,Bangalore,2024-10-15,Ad,Android,1
200,Male,41,Delhi,2024-12-01,Referral,Android,0
201,Male,25,Kolkata,2024-11-12,Ad,Android,1
202,Female,45,Kolkata,2025-02-18,Ad,Android,1
203,Male,38,Bangalore,2025-01-24,Organic,Android,1
204,Male,33,Bangalore,2024-11-17,Referral,iOS,0
205,Female,33,Delhi,2024-10-28,Referral,Android,1
206,Male,52,Chennai,2024-12-14,Referral,Android,0
207,Female,34,Kolkata,2025-02-06,Ad,Android,0
208,Female,26,Pune,2024-11-14,Ad,Android,1
209,Female,52,Ahmedabad,2024-10-07,Organic,iOS,0
210,Male,46,Mumbai,2025-02-09,Referral,Android,1
211,Male,56,Bangalore,2025-01-12,Ad,iOS,1
212,Male,35,Delhi,2024-12-20,Organic,iOS,1
213,Male,29,Bangalore,2024-10-12,Ad,Android,1
214,Male,36,Kolkata,2024-10-17,Ad,iOS,0
215,Male,39,Delhi,2024-12-27,Referral,Android,1
216,Male,32,Mumbai,2024-12-10,Referral,iOS,1
217,Female,18,Hyderabad,2024-11-20,Ad,iOS,1
218,Male,19,Kolkata,2024-12-07,Ad,iOS,1
219,Female,25,Chennai,2025-03-02,Ad,iOS,0
220,Male,39,Ahmedabad,2025-01-28,Ad,Android,1
221,Male,42,Ahmedabad,2025-02-03,Ad,iOS,1
222,Male,19,Hyderabad,2025-03-16,Referral,Android,1
223,Female,26,Delhi,2025-01-05,Referral,iOS,1
224,Female,26,Bangalore,2025-03-27,Ad,Android,0
225,Female,30,Chennai,2024-11-02,Ad,iOS,1
226,Female,23,Kolkata,2024-11-11,Referral,Android,0
227,Male,47,Mumbai,2025-02-02,Ad,iOS,1
228,Female,32,Ahmedabad,2024-11-02,Referral,Android,1
229,Male,32,Kolkata,2025-02-04,Referral,Android,0
230,Male,24,Pune,2025-03-31,Referral,iOS,0
231,Female,28,Chennai,2025-03-14,Referral,iOS,1
232,Female,57,Ahmedabad,2024-10-22,Organic,iOS,1
233,Female,55,Bangalore,2025-03-17,Ad,iOS,1
234,Female,57,Ahmedabad,2025-02-02,Ad,iOS,1
235,Female,19,Ahmedabad,2025-03-15,Ad,Android,1
236,Female,56,Hyderabad,2025-03-24,Referral,Android,0
237,Female,27,Delhi,2025-01-07,Referral,iOS,0
238,Female,34,Hyderabad,2025-03-14,Referral,iOS,1
239,Male,24,Kolkata,2024-11-21,Ad,iOS,0
240,Female,57,Chennai,2025-01-31,Referral,iOS,1
241,Female,56,Pune,2025-01-20,Organic,iOS,1
242,Male,21,Bangalore,2024-10-12,Ad,Android,1
243,Female,52,Delhi,2024-11-28,Organic,Android,1
244,Male,53,Bangalore,2025-02-06,Organic,Android,1
245,Male,48,Bangalore,2024-11-14,Ad,iOS,1
246,Female,42,Pune,2025-02-27,Organic,iOS,1
247,Male,58,Chennai,2024-11-06,Organic,iOS,0
248,Male,30,Hyderabad,2024-11-05,Referral,Android,1
249,Male,35,Bangalore,2024-12-01,Organic,iOS,1
250,Male,38,Kolkata,2025-01-29,Referral,iOS,1
251,Female,18,Kolkata,2024-12-01,Organic,iOS,0
252,Male,53,Bangalore,2024-12-18,Ad,Android,0
253,Female,25,Bangalore,2025-02-12,Ad,Android,1
254,Male,38,Delhi,2025-03-08,Ad,Android,0
255,Male,38,Bangalore,2025-03-08,Ad,Android,1
256,Male,44,Kolkata,2024-10-15,Referral,Android,1
257,Male,36,Bangalore,2024-12-12,Organic,Android,0
258,Female,40,Ahmedabad,2025-01-01,Organic,iOS,1
259,Female,52,Ahmedabad,2024-12-14,Ad,iOS,1
260,Male,57,Chennai,2024-12-17,Referral,iOS,1
261,Male,59,Kolkata,2024-12-03,Referral,Android,1
262,Female,22,Bangalore,2025-03-19,Ad,Android,0
263,Male,58,Pune,2024-10-11,Organic,Android,1
264,Male,25,Ahmedabad,2024-10-16,Ad,Android,1
265,Male,28,Pune,2024-10-18,Organic,iOS,1
266,Female,33,Kolkata,2025-03-07,Ad,iOS,1
267,Female,56,Bangalore,2025-03-17,Organic,Android,0
268,Female,41,Pune,2024-12-19,Referral,Android,1
269,Male,38,Chennai,2025-01-05,Ad,Android,1
270,Male,40,Delhi,2025-03-05,Organic,iOS,1
271,Female,55,Pune,2025-01-28,Organic,Android,1
272,Female,25,Kolkata,2025-02-11,Organic,iOS,0
273,Female,24,Pune,2025-02-12,Organic,iOS,1
274,Female,19,Hyderabad,2024-11-15,Referral,Android,1
275,Male,47,Chennai,2024-12-08,Organic,Android,1
276,Female,30,Pune,2025-02-25,Referral,Android,1
277,Male,40,Delhi,2024-12-14,Organic,iOS,1
278,Female,46,Hyderabad,2025-02-14,Referral,iOS,0
279,Male,55,Kolkata,2025-01-20,Referral,iOS,1
280,Female,54,Kolkata,2024-12-04,Organic,iOS,1
281,Female,37,Bangalore,2025-01-28,Referral,iOS,1
282,Female,50,Chennai,2025-03-13,Ad,iOS,1
283,Female,46,Ahmedabad,2024-12-09,Organic,Android,0
284,Male,32,Pune,2024-11-12,Ad,Android,0
285,Female,40,Bangalore,2025-03-07,Referral,Android,0
286,Male,59,Chennai,2025-03-20,Referral,iOS,1
287,Male,20,Kolkata,2024-10-17,Ad,Android,1
288,Male,54,Hyderabad,2024-11-14,Organic,Android,0
289,Male,46,Pune,2025-03-29,Ad,Android,0
290,Female,25,Kolkata,2025-03-09,Referral,iOS,1
291,Male,39,Ahmedabad,2025-01-31,Organic,Android,1
292,Male,46,Delhi,2025-02-18,Ad,Android,1
293,Male,19,Ahmedabad,2024-12-18,Ad,iOS,1
294,Female,58,Chennai,2024-11-28,Organic,Android,1
295,Female,18,Kolkata,2024-11-29,Ad,Android,1
296,Female,37,Kolkata,2025-02-06,Organic,iOS,1
297,Female,38,Ahmedabad,2024-12-20,Organic,Android,1
298,Male,54,Delhi,2025-03-17,Ad,iOS,1
299,Male,25,Ahmedabad,2025-02-18,Organic,iOS,1
300,Female,44,Ahmedabad,2024-12-25,Organic,Android,1
301,Male,52,Bangalore,2025-04-01,Referral,iOS,1
302,Male,23,Kolkata,2024-12-23,Referral,Android,1
303,Male,36,Bangalore,2025-01-24,Referral,Android,1
304,Female,35,Hyderabad,2024-12-06,Ad,Android,1
305,Female,18,Hyderabad,2025-01-18,Ad,Android,1
306,Male,42,Mumbai,2024-12-14,Ad,Android,1
307,Female,44,Mumbai,2024-10-05,Ad,iOS,1
308,Female,24,Hyderabad,2024-11-10,Organic,iOS,1
309,Female,59,Pune,2024-10-14,Organic,Android,1
310,Female,46,Ahmedabad,2024-11-28,Referral,iOS,1
311,Female,48,Bangalore,2025-02-21,Organic,Android,1
312,Male,53,Delhi,2025-02-12,Ad,Android,1
313,Female,36,Kolkata,2025-01-16,Organic,Android,0
314,Male,23,Ahmedabad,2025-02-05,Referral,Android,0
315,Male,42,Kolkata,2025-03-18,Ad,iOS,0
316,Female,48,Hyderabad,2024-11-04,Organic,Android,1
317,Male,26,Ahmedabad,2024-11-14,Referral,Android,1
318,Male,37,Pune,2025-03-17,Organic,Android,1
319,Male,27,Ahmedabad,2025-01-11,Referral,Android,1
320,Female,54,Delhi,2025-03-18,Referral,iOS,1
321,Female,44,Mumbai,2025-03-20,Referral,Android,1
322,Male,30,Delhi,2024-11-03,Ad,iOS,0
323,Female,58,Hyderabad,2024-11-30,Organic,iOS,1
324,Female,19,Bangalore,2024-11-24,Organic,iOS,1
325,Female,38,Ahmedabad,2024-11-17,Ad,iOS,0
326,Female,50,Hyderabad,2025-02-20,Ad,Android,0
327,Male,41,Kolkata,2025-03-18,Organic,iOS,1
328,Male,59,Kolkata,2024-11-22,Ad,iOS,1
329,Female,51,Chennai,2025-03-12,Ad,iOS,1
330,Female,26,Pune,2025-02-13,Organic,iOS,1
331,Male,19,Pune,2025-03-15,Referral,iOS,1
332,Male,47,Pune,2024-10-31,Ad,Android,0
333,Female,39,Chennai,2025-03-15,Organic,Android,1
334,Male,28,Chennai,2024-10-11,Organic,iOS,1
335,Female,34,Bangalore,2025-01-31,Organic,iOS,1
336,Female,53,Pune,2024-12-19,Ad,Android,1
337,Male,30,Hyderabad,2025-03-02,Referral,iOS,1
338,Male,24,Chennai,2024-11-07,Referral,Android,1
339,Female,33,Hyderabad,2025-01-28,Organic,iOS,0
340,Female,50,Mumbai,2024-11-04,Ad,iOS,0
341,Male,18,Pune,2024-10-31,Ad,Android,1
342,Female,28,Chennai,2025-03-22,Referral,iOS,1
343,Male,23,Chennai,2024-10-25,Referral,iOS,1
344,Female,37,Bangalore,2025-03-12,Ad,Android,0
345,Male,52,Hyderabad,2024-12-15,Referral,iOS,1
346,Male,54,Bangalore,2024-10-15,Organic,Android,0
347,Male,58,Bangalore,2024-11-03,Referral,iOS,1
348,Female,43,Hyderabad,2024-11-08,Ad,Android,1
349,Female,29,Mumbai,2024-11-19,Organic,iOS,1
350,Male,47,Hyderabad,2025-01-11,Ad,Android,1
351,Female,45,Mumbai,2025-01-25,Referral,Android,1
352,Male,44,Bangalore,2025-02-08,Referral,Android,1
353,Male,59,Mumbai,2024-10-12,Organic,iOS,0
354,Female,36,Pune,2025-01-11,Organic,iOS,1
355,Female,22,Mumbai,2025-01-30,Organic,Android,1
356,Male,22,Ahmedabad,2025-01-24,Organic,iOS,1
357,Female,58,Mumbai,2024-12-21,Referral,Android,1
358,Female,44,Ahmedabad,2025-02-27,Ad,iOS,1
359,Male,45,Chennai,2024-10-12,Referral,Android,0
360,Male,43,Chennai,2024-10-18,Referral,iOS,0
361,Female,44,Kolkata,2025-01-15,Organic,iOS,1
362,Male,59,Bangalore,2024-12-05,Organic,iOS,1
363,Male,38,Hyderabad,2025-01-11,Ad,iOS,1
364,Female,18,Mumbai,2025-03-14,Ad,iOS,1
365,Male,45,Pune,2025-03-30,Referral,iOS,1
366,Male,32,Chennai,2024-12-05,Ad,iOS,0
367,Female,34,Hyderabad,2024-10-24,Organic,iOS,1
368,Female,43,Pune,2024-11-08,Organic,Android,1
369,Male,37,Mumbai,2025-03-07,Organic,Android,1
370,Male,42,Hyderabad,2025-03-14,Referral,Android,1
371,Female,30,Kolkata,2024-11-15,Ad,iOS,1
372,Female,50,Ahmedabad,2025-02-06,Organic,iOS,1
373,Female,42,Ahmedabad,2024-11-23,Referral,Android,1
374,Female,25,Pune,2025-01-24,Referral,Android,1
375,Male,22,Delhi,2025-02-27,Referral,Android,0
376,Female,23,Pune,2025-01-02,Ad,Android,1
377,Female,40,Pune,2025-03-15,Ad,Android,1
378,Male,47,Mumbai,2025-01-29,Ad,Android,0
379,Female,31,Ahmedabad,2024-12-28,Referral,Android,1
380,Male,40,Hyderabad,2025-01-19,Referral,Android,0
381,Female,28,Mumbai,2025-02-20,Ad,Android,1
382,Female,48,Mumbai,2024-12-10,Organic,Android,1
383,Female,23,Delhi,2024-11-13,Ad,iOS,0
384,Male,28,Kolkata,2024-10-03,Referral,iOS,1
385,Male,30,Pune,2025-01-14,Referral,iOS,1
386,Female,29,Hyderabad,2024-10-27,Referral,Android,1
387,Male,19,Kolkata,2024-10-16,Referral,Android,1
388,Male,52,Bangalore,2024-11-17,Referral,iOS,1
389,Male,53,Chennai,2025-03-30,Referral,iOS,1
390,Male,34,Kolkata,2024-10-13,Ad,Android,1
391,Male,45,Mumbai,2024-11-11,Referral,iOS,1
392,Male,45,Mumbai,2025-01-15,Referral,iOS,1
393,Female,39,Ahmedabad,2024-10-14,Referral,iOS,1
394,Female,55,Mumbai,2025-03-06,Referral,iOS,0
395,Male,24,Mumbai,2025-02-26,Referral,iOS,1
396,Female,32,Chennai,2025-01-24,Organic,iOS,1
397,Female,49,Bangalore,2025-03-03,Ad,iOS,1
398,Female,28,Delhi,2025-03-05,Ad,iOS,1
399,Female,41,Bangalore,2024-11-11,Organic,iOS,1
400,Male,20,Chennai,2025-02-21,Organic,Android,0
401,Female,47,Hyderabad,2025-01-22,Referral,iOS,1
402,Female,23,Delhi,2025-01-19,Ad,Android,1
403,Male,19,Delhi,2024-10-29,Ad,Android,1
404,Male,31,Hyderabad,2025-02-07,Organic,Android,1
405,Female,58,Pune,2025-01-04,Ad,iOS,1
406,Female,35,Mumbai,2025-02-08,Ad,iOS,1
407,Female,48,Ahmedabad,2024-10-08,Referral,iOS,1
408,Female,30,Ahmedabad,2024-10-21,Referral,iOS,0
409,Female,43,Chennai,2025-01-24,Referral,iOS,1
410,Female,29,Hyderabad,2024-11-23,Ad,iOS,0
411,Male,35,Ahmedabad,2024-11-27,Ad,iOS,1
412,Female,26,Bangalore,2025-01-27,Referral,iOS,1
413,Female,38,Bangalore,2025-03-19,Referral,iOS,1
414,Male,57,Pune,2025-03-09,Ad,Android,1
415,Male,41,Hyderabad,2024-10-21,Ad,iOS,1
416,Male,51,Chennai,2024-12-14,Organic,iOS,1
417,Male,25,Pune,2025-01-21,Referral,iOS,1
418,Female,50,Pune,2025-03-21,Referral,Android,0
419,Female,40,Pune,2025-04-01,Referral,iOS,1
420,Female,30,Ahmedabad,2025-01-06,Ad,iOS,0
421,Female,31,Ahmedabad,2025-02-27,Ad,Android,1
422,Female,31,Delhi,2024-10-20,Organic,iOS,0
423,Female,33,Delhi,2025-01-24,Organic,Android,0
424,Male,55,Mumbai,2025-02-19,Referral,Android,1
425,Female,56,Ahmedabad,2024-12-09,Organic,iOS,1
426,Male,43,Chennai,2024-11-11,Ad,iOS,1
427,Male,43,Bangalore,2024-10-03,Organic,Android,1
428,Female,18,Bangalore,2024-12-13,Organic,iOS,1
429,Male,49,Mumbai,2024-11-09,Ad,Android,1
430,Female,32,Bangalore,2025-03-30,Referral,iOS,1
431,Male,38,Pune,2025-03-04,Referral,Android,0
432,Female,35,Ahmedabad,2025-03-13,Organic,iOS,0
433,Male,47,Mumbai,2024-10-07,Ad,Android,0
434,Female,30,Mumbai,2025-02-22,Ad,Android,1
435,Female,41,Hyderabad,2024-11-13,Organic,Android,1
436,Female,47,Delhi,2025-03-23,Referral,iOS,1
437,Female,19,Chennai,2024-12-28,Referral,Android,1
438,Female,36,Chennai,2024-11-03,Referral,iOS,1
439,Male,42,Delhi,2024-11-11,Ad,iOS,1
440,Male,31,Pune,2025-02-23,Ad,Android,1
441,Male,23,Chennai,2024-12-12,Ad,Android,1
442,Female,29,Bangalore,2025-02-28,Referral,iOS,1
443,Male,37,Bangalore,2025-03-22,Organic,Android,0
444,Female,40,Chennai,2025-01-13,Ad,Android,1
445,Female,47,Kolkata,2024-12-29,Ad,iOS,1
446,Male,47,Kolkata,2025-03-22,Organic,Android,1
447,Male,55,Ahmedabad,2024-12-31,Referral,iOS,0
448,Female,47,Hyderabad,2025-02-07,Ad,Android,1
449,Male,58,Chennai,2024-10-09,Referral,Android,1
450,Female,47,Mumbai,2025-01-28,Ad,iOS,1
451,Female,53,Pune,2024-10-13,Ad,Android,0
452,Female,51,Ahmedabad,2025-03-06,Organic,iOS,1
453,Female,33,Ahmedabad,2025-01-01,Organic,Android,1
454,Female,41,Mumbai,2024-11-09,Organic,Android,1
455,Male,31,Delhi,2024-12-18,Organic,iOS,1
456,Male,43,Pune,2024-10-25,Referral,iOS,0
457,Female,25,Pune,2025-02-21,Referral,iOS,1
458,Female,31,Bangalore,2025-01-31,Referral,iOS,1
459,Male,48,Pune,2025-02-19,Organic,iOS,0
460,Male,19,Hyderabad,2025-02-15,Ad,Android,0
461,Female,21,Chennai,2024-12-17,Referral,iOS,1
462,Male,18,Mumbai,2025-03-26,Organic,iOS,1
463,Female,37,Bangalore,2025-02-15,Organic,iOS,1
464,Male,31,Ahmedabad,2025-01-06,Organic,iOS,1
465,Female,57,Ahmedabad,2024-12-17,Referral,iOS,0
466,Male,42,Kolkata,2024-10-12,Ad,iOS,1
467,Female,42,Ahmedabad,2025-01-28,Referral,iOS,1
468,Male,20,Bangalore,2025-01-23,Organic,Android,1
469,Male,22,Hyderabad,2025-02-20,Organic,iOS,1
470,Female,55,Hyderabad,2024-10-04,Organic,Android,1
471,Male,43,Hyderabad,2025-03-05,Referral,Android,1
472,Female,57,Hyderabad,2024-12-25,Ad,Android,1
473,Male,55,Kolkata,2025-03-23,Referral,Android,1
