ticket_id,customer_id,ticket_date,issue_type,resolution_days,satisfaction_score
378,10570,2025-09-08,Account Blocked,2,5
379,19835,2025-06-28,Refund Delay,1,4
380,15512,2025-08-17,Payment Failed,4,3
381,4572,2025-04-01,Account Blocked,3,2
382,17596,2025-10-25,Payment Failed,6,1
383,16737,2025-09-21,Payment Failed,6,5
384,14003,2025-10-01,Payment Failed,7,5
385,4992,2025-08-06,Payment Failed,5,3
386,10382,2025-06-23,Refund Delay,7,4
387,7280,2025-07-18,Account Blocked,4,5
388,7280,2025-09-05,Refund Delay,7,1
389,11634,2025-09-18,KYC Issue,3,1
390,18792,2025-10-05,Account Blocked,7,1
391,18792,2025-10-08,Account Blocked,5,4
392,4466,2025-05-21,Refund Delay,1,4
393,4466,2025-05-16,Refund Delay,3,1
394,15005,2025-07-26,Account Blocked,6,2
395,15005,2025-09-12,Payment Failed,5,1
396,6425,2025-09-02,KYC Issue,3,3
397,1030,2025-08-31,Account Blocked,5,3
398,5248,2025-05-10,KYC Issue,1,2
399,7017,2025-07-15,KYC Issue,2,5
400,10156,2025-09-24,Payment Failed,1,3
401,10156,2025-05-03,Refund Delay,1,4
402,19612,2025-04-10,KYC Issue,2,5
403,10219,2025-08-21,Account Blocked,2,5
404,193,2025-06-07,Account Blocked,2,5
405,193,2025-09-09,KYC Issue,7,4
406,19358,2025-04-06,Refund Delay,4,4
407,12069,2025-08-28,Refund Delay,1,4
408,12069,2025-08-25,Payment Failed,6,1
409,14090,2025-07-10,Payment Failed,3,5
410,14090,2025-10-07,Account Blocked,4,5
411,10759,2025-06-04,Payment Failed,4,4
412,10759,2025-06-22,KYC Issue,7,2
413,4236,2025-04-10,Payment Failed,7,2
414,4236,2025-05-19,Payment Failed,1,1
415,14256,2025-09-24,Payment Failed,5,2
416,11915,2025-06-13,KYC Issue,5,2
417,11779,2025-10-02,KYC Issue,3,3
418,11779,2025-09-21,Refund Delay,7,5
419,5008,2025-10-04,Payment Failed,4,2
420,5008,2025-10-03,Account Blocked,5,4
421,12303,2025-05-29,Payment Failed,6,1
422,13700,2025-08-14,Refund Delay,5,3
423,13700,2025-09-20,Payment Failed,6,5
424,15376,2025-05-29,Refund Delay,2,5
425,15376,2025-09-30,Account Blocked,4,4
426,2092,2025-04-05,KYC Issue,2,4
427,3096,2025-04-17,Account Blocked,3,1
428,3096,2025-10-22,Refund Delay,5,2
429,8632,2025-04-03,Payment Failed,5,2
430,17199,2025-08-02,Account Blocked,1,2
431,17199,2025-07-24,Refund Delay,6,4
432,1027,2025-07-20,Account Blocked,7,3
433,1027,2025-09-10,Refund Delay,7,5
434,6540,2025-07-06,Payment Failed,2,3
435,6540,2025-10-09,Refund Delay,4,5
436,19608,2025-08-18,Refund Delay,3,5
437,19608,2025-07-19,Account Blocked,7,3
438,8691,2025-10-01,Account Blocked,2,5
439,19421,2025-08-21,KYC Issue,6,4
440,1868,2025-08-28,Refund Delay,4,3
441,12079,2025-07-25,Refund Delay,5,1
442,12079,2025-05-24,Account Blocked,2,3
443,18601,2025-04-06,Account Blocked,3,1
444,18601,2025-04-09,KYC Issue,6,2
445,14784,2025-10-06,Payment Failed,3,1
446,14784,2025-06-05,KYC Issue,2,1
447,6508,2025-07-01,Refund Delay,2,5
448,6660,2025-10-12,Account Blocked,7,5
449,6660,2025-05-09,Payment Failed,3,3
450,16163,2025-08-24,Payment Failed,5,4
451,16163,2025-05-18,Refund Delay,3,2
452,7711,2025-07-13,Payment Failed,7,3
453,7711,2025-10-11,Payment Failed,2,4
454,1955,2025-10-13,KYC Issue,6,3
455,12211,2025-07-11,KYC Issue,4,3
456,17123,2025-09-30,KYC Issue,6,2
457,17123,2025-10-29,Refund Delay,7,3
458,6676,2025-05-24,Payment Failed,1,4
459,8975,2025-07-27,Refund Delay,3,2
460,714,2025-09-13,Payment Failed,3,5
461,17520,2025-05-13,KYC Issue,7,2
462,17520,2025-08-31,Refund Delay,4,4
463,985,2025-05-31,Payment Failed,3,5
464,985,2025-07-17,KYC Issue,7,5
465,6025,2025-08-22,Account Blocked,3,4
466,6025,2025-04-23,KYC Issue,1,3
467,2808,2025-05-10,Account Blocked,4,3
468,12981,2025-07-19,Refund Delay,7,4
469,12981,2025-08-12,KYC Issue,3,1
470,18264,2025-10-29,Refund Delay,2,1
471,18377,2025-06-29,Payment Failed,4,3
472,5374,2025-10-10,Refund Delay,1,4
473,10394,2025-07-08,Payment Failed,4,4
474,10394,2025-05-11,Account Blocked,2,3
475,10720,2025-10-31,Account Blocked,3,1
476,18044,2025-10-14,Payment Failed,5,5
477,14922,2025-04-12,Payment Failed,3,1
478,18947,2025-08-15,Payment Failed,5,2
479,18947,2025-04-18,KYC Issue,7,5
480,9098,2025-04-07,KYC Issue,2,5
481,17381,2025-10-27,Refund Delay,3,1
482,11155,2025-04-06,Account Blocked,6,1
483,11155,2025-10-04,Refund Delay,5,3
484,8444,2025-04-03,Account Blocked,5,5
485,8444,2025-09-07,KYC Issue,1,3
486,5838,2025-10-05,Account Blocked,6,2
487,4438,2025-10-02,KYC Issue,5,5
488,12031,2025-10-29,Account Blocked,5,4
489,12031,2025-06-11,Refund Delay,4,5
490,168,2025-08-28,KYC Issue,2,2
491,8136,2025-08-02,Account Blocked,5,2
492,8136,2025-09-18,Account Blocked,6,1
493,953,2025-09-21,Refund Delay,4,1
494,3046,2025-06-16,KYC Issue,1,3
495,3046,2025-04-09,KYC Issue,4,3
496,5023,2025-05-09,Payment Failed,5,4
497,16632,2025-07-28,Payment Failed,5,4
498,16632,2025-08-29,Payment Failed,1,5
499,1740,2025-05-19,Account Blocked,6,1
500,1740,2025-05-25,Refund Delay,4,1
501,16776,2025-10-14,Payment Failed,6,1
502,17685,2025-09-01,Payment Failed,3,3
503,9673,2025-10-04,KYC Issue,3,4
504,4719,2025-09-24,Refund Delay,3,3
505,4719,2025-10-19,Refund Delay,6,5
506,13254,2025-05-07,Refund Delay,6,4
507,13254,2025-07-29,KYC Issue,5,4
508,16395,2025-04-18,Payment Failed,7,1
509,16395,2025-05-01,Refund Delay,7,1
510,16190,2025-04-16,Account Blocked,1,1
511,11266,2025-10-29,Payment Failed,3,2
512,15437,2025-05-31,Payment Failed,1,2
513,11054,2025-06-29,Refund Delay,7,3
514,11054,2025-09-19,KYC Issue,4,2
515,17271,2025-06-29,Payment Failed,1,1
516,1325,2025-04-17,Refund Delay,2,3
517,15841,2025-06-16,Refund Delay,4,4
518,14491,2025-05-21,Payment Failed,4,1
519,9397,2025-04-10,Refund Delay,5,4
520,9397,2025-10-19,Payment Failed,2,4
521,10730,2025-06-04,Account Blocked,6,3
522,7816,2025-05-13,KYC Issue,2,2
523,44,2025-06-17,Refund Delay,6,2
524,44,2025-08-29,KYC Issue,4,4
525,17006,2025-08-02,Refund Delay,3,1
526,8277,2025-05-22,Account Blocked,5,3
527,9268,2025-10-31,Account Blocked,2,2
528,9268,2025-09-06,Refund Delay,7,2
529,18161,2025-10-27,Account Blocked,6,3
530,18161,2025-10-27,Refund Delay,6,5
531,16931,2025-06-01,KYC Issue,6,5
532,6167,2025-05-28,Payment Failed,4,4
533,4895,2025-05-14,KYC Issue,5,3
534,4895,2025-05-20,Refund Delay,6,4
535,18514,2025-08-20,Refund Delay,4,5
536,18514,2025-09-19,Account Blocked,2,3
537,15488,2025-05-12,Refund Delay,7,5
538,15488,2025-06-11,Account Blocked,3,2
539,6577,2025-05-22,KYC Issue,5,1
540,5028,2025-05-27,Account Blocked,2,3
541,4046,2025-05-01,KYC Issue,2,5
542,4046,2025-08-12,Refund Delay,3,1
543,2161,2025-05-09,Payment Failed,6,1
544,5522,2025-07-07,Payment Failed,1,4
545,5377,2025-09-06,Payment Failed,7,1
546,5377,2025-08-10,Refund Delay,4,5
547,19323,2025-10-05,Refund Delay,3,1
548,19323,2025-09-17,Refund Delay,7,1
549,2071,2025-09-21,Account Blocked,6,4
550,11208,2025-06-06,KYC Issue,7,5
551,11208,2025-10-29,KYC Issue,1,5
552,906,2025-07-15,Payment Failed,2,3
553,14260,2025-05-12,Payment Failed,2,4
554,14260,2025-07-20,Payment Failed,5,2
555,2699,2025-08-13,Refund Delay,2,2
556,17196,2025-07-25,Payment Failed,1,1
557,17196,2025-09-03,KYC Issue,7,5
558,13723,2025-04-08,KYC Issue,2,1
559,12956,2025-09-20,KYC Issue,7,3
560,12956,2025-07-08,Account Blocked,2,3
561,10325,2025-05-30,KYC Issue,3,2
562,1275,2025-09-01,Refund Delay,6,5
563,1275,2025-07-17,KYC Issue,5,1
564,15231,2025-08-29,Payment Failed,3,2
565,16530,2025-08-31,Refund Delay,7,1
566,16530,2025-06-14,Account Blocked,1,5
567,6647,2025-05-08,Account Blocked,4,4
568,6647,2025-09-26,Refund Delay,6,5
569,5520,2025-04-13,KYC Issue,3,2
570,5520,2025-04-19,Payment Failed,3,4
571,3996,2025-07-17,Refund Delay,7,5
572,4442,2025-08-25,Refund Delay,7,3
573,17469,2025-10-23,KYC Issue,2,3
574,17469,2025-06-04,KYC Issue,1,3
575,8269,2025-07-09,KYC Issue,6,2
576,8269,2025-08-09,Account Blocked,7,2
577,5139,2025-06-16,KYC Issue,7,5
578,99,2025-07-19,KYC Issue,4,5
579,99,2025-09-27,KYC Issue,4,1
580,13804,2025-09-28,Account Blocked,3,3
581,13804,2025-07-05,Account Blocked,1,4
582,11077,2025-10-08,Refund Delay,6,1
583,10786,2025-06-02,KYC Issue,2,5
584,10786,2025-05-29,Refund Delay,4,5
585,7169,2025-08-17,Account Blocked,1,1
586,10640,2025-07-29,Account Blocked,1,2
587,10640,2025-10-16,Account Blocked,3,5
588,4778,2025-08-17,Payment Failed,1,3
589,8182,2025-08-24,Refund Delay,3,1
590,10200,2025-08-05,Account Blocked,6,2
591,8252,2025-07-05,KYC Issue,6,3
592,5854,2025-05-04,KYC Issue,6,2
593,9211,2025-10-15,Refund Delay,1,1
594,14048,2025-08-13,Payment Failed,3,3
595,14048,2025-05-28,Payment Failed,5,3
596,15880,2025-08-18,KYC Issue,2,3
597,15880,2025-06-30,Payment Failed,5,4
598,17964,2025-05-04,Payment Failed,3,4
599,7126,2025-09-07,Refund Delay,4,5
600,7126,2025-06-18,Account Blocked,1,4
601,2744,2025-06-30,Refund Delay,5,3
602,8834,2025-04-13,KYC Issue,6,5
603,19335,2025-06-01,Payment Failed,4,5
604,11540,2025-10-23,Payment Failed,4,4
605,14795,2025-10-21,KYC Issue,5,2
606,16918,2025-07-03,KYC Issue,5,5
